instance,run,a,b,c_ab,c_ba
sdmk05,4,EDA,EDA-VNS,0.0,1.0
sdmk05,4,EDA,H-GA-TS,1.0,0.0
sdmk05,4,NSGA-II,EDA-VNS,0.0,0.875
sdmk05,4,NSGA-II,H-GA-TS,0.0,0.625
sdmk05,4,EDA-VNS,H-GA-TS,1.0,0.0
sdmk05,5,EDA-TS,EDA,0.0,0.5263157894736842
sdmk05,5,EDA-TS,NSGA-II,1.0,0.0
sdmk05,5,EDA-TS,EDA-VNS,0.0,0.5263157894736842
sdmk05,5,EDA-TS,H-GA-TS,1.0,0.0
sdmk05,5,EDA,NSGA-II,1.0,0.0
sdmk05,5,EDA,EDA-VNS,0.0,1.0
sdmk05,5,EDA,H-GA-TS,1.0,0.0
sdmk05,5,NSGA-II,EDA-VNS,0.0,1.0
sdmk05,5,NSGA-II,H-GA-TS,0.06666666666666667,0.16666666666666666
sdmk05,5,EDA-VNS,H-GA-TS,1.0,0.0
sdmk05,6,EDA-TS,EDA,0.0,0.5882352941176471
sdmk05,6,EDA-TS,NSGA-II,1.0,0.0
sdmk05,6,EDA-TS,EDA-VNS,0.0,0.7058823529411765
sdmk05,6,EDA-TS,H-GA-TS,0.4117647058823529,0.0
sdmk05,6,EDA,NSGA-II,1.0,0.0
sdmk05,6,EDA,EDA-VNS,0.0,1.0
sdmk05,6,EDA,H-GA-TS,1.0,0.0
sdmk05,6,NSGA-II,EDA-VNS,0.0,1.0
sdmk05,6,NSGA-II,H-GA-TS,0.17647058823529413,0.7
sdmk05,6,EDA-VNS,H-GA-TS,1.0,0.0
sdmk05,7,EDA-TS,EDA,1.0,0.0
sdmk05,7,EDA-TS,NSGA-II,1.0,0.0
sdmk05,7,EDA-TS,EDA-VNS,0.0,0.9565217391304348
sdmk05,7,EDA-TS,H-GA-TS,1.0,0.0
sdmk05,7,EDA,NSGA-II,0.5,0.0
sdmk05,7,EDA,EDA-VNS,0.0,1.0
sdmk05,7,EDA,H-GA-TS,1.0,0.0
sdmk05,7,NSGA-II,EDA-VNS,0.0,1.0
sdmk05,7,NSGA-II,H-GA-TS,0.1111111111111111,0.25
sdmk05,7,EDA-VNS,H-GA-TS,1.0,0.0
sdmk05,8,EDA-TS,EDA,0.0,0.0
sdmk05,8,EDA-TS,NSGA-II,1.0,0.0
sdmk05,8,EDA-TS,EDA-VNS,0.0,0.9130434782608695
sdmk05,8,EDA-TS,H-GA-TS,1.0,0.0
sdmk05,8,EDA,NSGA-II,1.0,0.0
sdmk05,8,EDA,EDA-VNS,0.0,1.0
sdmk05,8,EDA,H-GA-TS,1.0,0.0
sdmk05,8,NSGA-II,EDA-VNS,0.0,1.0
sdmk05,8,NSGA-II,H-GA-TS,0.0,0.0
sdmk05,8,EDA-VNS,H-GA-TS,1.0,0.0
sdmk05,9,EDA-TS,EDA,0.0,0.42105263157894735
sdmk05,9,EDA-TS,NSGA-II,1.0,0.0
sdmk05,9,EDA-TS,EDA-VNS,0.0,0.47368421052631576
sdmk05,9,EDA-TS,H-GA-TS,1.0,0.0
sdmk05,9,EDA,NSGA-II,1.0,0.0
sdmk05,9,EDA,EDA-VNS,0.0,0.0
sdmk05,9,EDA,H-GA-TS,1.0,0.0
sdmk05,9,NSGA-II,EDA-VNS,0.0,1.0
sdmk05,9,NSGA-II,H-GA-TS,0.021739130434782608,0.25
sdmk05,9,EDA-VNS,H-GA-TS,1.0,0.0
sdmk05,10,EDA-TS,EDA,0.0,0.02631578947368421
sdmk05,10,EDA-TS,NSGA-II,1.0,0.0
sdmk05,10,EDA-TS,EDA-VNS,0.0,1.0
sdmk05,10,EDA-TS,H-GA-TS,0.07142857142857142,0.10526315789473684
sdmk05,10,EDA,NSGA-II,1.0,0.0
sdmk05,10,EDA,EDA-VNS,0.0,1.0
sdmk05,10,EDA,H-GA-TS,0.07142857142857142,0.0
sdmk05,10,NSGA-II,EDA-VNS,0.0,1.0
sdmk05,10,NSGA-II,H-GA-TS,0.07142857142857142,0.8
sdmk05,10,EDA-VNS,H-GA-TS,1.0,0.0
